Dilemma,Prompting,N,Bin1_Calibrated_count,Bin1_Calibrated_pct,Bin2_Rigid_tracking_count,Bin2_Rigid_tracking_pct,Bin3_Gradient_sensitive_overshoot_count,Bin3_Gradient_sensitive_overshoot_pct,Bin4_Gradient_erased_count,Bin4_Gradient_erased_pct,Bin5_Gradient_inverted_count,Bin5_Gradient_inverted_pct,Bin6_Non_tracking_contradiction_count,Bin6_Non_tracking_contradiction_pct,Bin7_Non_tracking_rigidity_count,Bin7_Non_tracking_rigidity_pct,Tracking_A_bins12_count,Tracking_A_bins12_pct,All_tracking_bins123_count,All_tracking_bins123_pct,NonTracking_B_bins67_count,NonTracking_B_bins67_pct,Deterministic_count,Deterministic_pct
HL,CC,48,0,0.0,6,12.5,5,10.4,16,33.3,13,27.1,1,2.1,7,14.6,6,12.5,11,22.9,8,16.7,33,68.8
HL,FSCOT,48,9,18.8,12,25.0,18,37.5,1,2.1,4,8.3,2,4.2,2,4.2,21,43.8,39,81.2,4,8.3,19,39.6
HL,PLAIN,48,1,2.1,9,18.8,5,10.4,16,33.3,9,18.8,2,4.2,6,12.5,10,20.8,15,31.2,8,16.7,29,60.4
HL,ZSCOT,48,5,10.4,1,2.1,3,6.2,5,10.4,22,45.8,6,12.5,6,12.5,6,12.5,9,18.8,12,25.0,9,18.8
MF,CC,48,3,6.2,13,27.1,4,8.3,24,50.0,4,8.3,0,0.0,0,0.0,16,33.3,20,41.7,0,0.0,38,79.2
MF,FSCOT,48,1,2.1,7,14.6,4,8.3,27,56.2,8,16.7,1,2.1,0,0.0,8,16.7,12,25.0,1,2.1,38,79.2
MF,PLAIN,48,3,6.2,16,33.3,3,6.2,22,45.8,4,8.3,0,0.0,0,0.0,19,39.6,22,45.8,0,0.0,34,70.8
MF,ZSCOT,48,7,14.6,6,12.5,5,10.4,20,41.7,10,20.8,0,0.0,0,0.0,13,27.1,18,37.5,0,0.0,25,52.1
YO,CC,48,4,8.3,2,4.2,9,18.8,14,29.2,8,16.7,4,8.3,7,14.6,6,12.5,15,31.2,11,22.9,25,52.1
YO,FSCOT,48,2,4.2,13,27.1,15,31.2,8,16.7,5,10.4,2,4.2,3,6.2,15,31.2,30,62.5,5,10.4,25,52.1
YO,PLAIN,48,3,6.2,5,10.4,8,16.7,10,20.8,11,22.9,7,14.6,4,8.3,8,16.7,16,33.3,11,22.9,22,45.8
YO,ZSCOT,48,10,20.8,4,8.3,10,20.8,0,0.0,15,31.2,8,16.7,1,2.1,14,29.2,24,50.0,9,18.8,5,10.4
