LLM_std,Prompting,N,Bin1_Calibrated_count,Bin1_Calibrated_pct,Bin2_Rigid_tracking_count,Bin2_Rigid_tracking_pct,Bin3_Gradient_sensitive_overshoot_count,Bin3_Gradient_sensitive_overshoot_pct,Bin4_Gradient_erased_count,Bin4_Gradient_erased_pct,Bin5_Gradient_inverted_count,Bin5_Gradient_inverted_pct,Bin6_Non_tracking_contradiction_count,Bin6_Non_tracking_contradiction_pct,Bin7_Non_tracking_rigidity_count,Bin7_Non_tracking_rigidity_pct,Tracking_A_bins12_count,Tracking_A_bins12_pct,All_tracking_bins123_count,All_tracking_bins123_pct,NonTracking_B_bins67_count,NonTracking_B_bins67_pct,Deterministic_count,Deterministic_pct
DeepSeek R1,CC,36,2,5.6,3,8.3,3,8.3,12,33.3,7,19.4,1,2.8,8,22.2,5,13.9,8,22.2,9,25.0,26,72.2
DeepSeek R1,FSCOT,36,3,8.3,6,16.7,7,19.4,14,38.9,2,5.6,3,8.3,1,2.8,9,25.0,16,44.4,4,11.1,22,61.1
DeepSeek R1,PLAIN,36,0,0.0,5,13.9,1,2.8,12,33.3,9,25.0,2,5.6,7,19.4,5,13.9,6,16.7,9,25.0,24,66.7
DeepSeek R1,ZSCOT,36,4,11.1,5,13.9,0,0.0,8,22.2,10,27.8,4,11.1,5,13.9,9,25.0,9,25.0,9,25.0,15,41.7
GPT-4o,CC,36,0,0.0,0,0.0,2,5.6,25,69.4,4,11.1,1,2.8,4,11.1,0,0.0,2,5.6,5,13.9,32,88.9
GPT-4o,FSCOT,36,3,8.3,6,16.7,3,8.3,12,33.3,9,25.0,1,2.8,2,5.6,9,25.0,12,33.3,3,8.3,19,52.8
GPT-4o,PLAIN,36,1,2.8,0,0.0,6,16.7,26,72.2,1,2.8,1,2.8,1,2.8,1,2.8,7,19.4,2,5.6,29,80.6
GPT-4o,ZSCOT,36,6,16.7,0,0.0,6,16.7,12,33.3,8,22.2,3,8.3,1,2.8,6,16.7,12,33.3,4,11.1,12,33.3
Gemini Flash,CC,36,2,5.6,9,25.0,2,5.6,12,33.3,7,19.4,2,5.6,2,5.6,11,30.6,13,36.1,4,11.1,24,66.7
Gemini Flash,FSCOT,36,3,8.3,13,36.1,9,25.0,8,22.2,1,2.8,0,0.0,2,5.6,16,44.4,25,69.4,2,5.6,27,75.0
Gemini Flash,PLAIN,36,2,5.6,14,38.9,0,0.0,4,11.1,9,25.0,5,13.9,2,5.6,16,44.4,16,44.4,7,19.4,19,52.8
Gemini Flash,ZSCOT,36,5,13.9,4,11.1,2,5.6,2,5.6,17,47.2,5,13.9,1,2.8,9,25.0,11,30.6,6,16.7,6,16.7
Mistral Large,CC,36,3,8.3,9,25.0,11,30.6,5,13.9,7,19.4,1,2.8,0,0.0,12,33.3,23,63.9,1,2.8,14,38.9
Mistral Large,FSCOT,36,3,8.3,7,19.4,18,50.0,2,5.6,5,13.9,1,2.8,0,0.0,10,27.8,28,77.8,1,2.8,14,38.9
Mistral Large,PLAIN,36,4,11.1,11,30.6,9,25.0,6,16.7,5,13.9,1,2.8,0,0.0,15,41.7,24,66.7,1,2.8,13,36.1
Mistral Large,ZSCOT,36,7,19.4,2,5.6,10,27.8,3,8.3,12,33.3,2,5.6,0,0.0,9,25.0,19,52.8,2,5.6,6,16.7
